Scheme Code,Scheme Name,Latest NAV,NAV Date,Fund Type,Fund Category,Fund House,Launch Date,Benchmark
151796,360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH,15.5838,25-Jul-2025,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,360 ONE Mutual Fund,"{'date': '06-07-2023', 'nav': '10.04820'}",Nifty 500 TRI
120564,Aditya Birla Sun Life Flexi Cap Fund - Growth - Direct Plan,1984.41,25-Jul-2025,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,Aditya Birla Sun Life Mutual Fund,"{'date': '02-01-2013', 'nav': '280.57000'}",Nifty 500 TRI
141925,Axis Flexi Cap Fund - Direct Plan - Growth,29.70,25-Jul-2025,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,Axis Mutual Fund,"{'date': '24-11-2017', 'nav': '10.01000'}",Nifty 500 TRI
151895,Bajaj Finserv Flexi Cap Fund-Direct Plan-Growth,14.952,25-Jul-2025,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,Bajaj Finserv Mutual Fund,"{'date': '16-08-2023', 'nav': '10.01700'}",Nifty 500 TRI
118424,BANDHAN Flexi Cap Fund-Direct Plan-Growth,227.361,25-Jul-2025,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,Bandhan Mutual Fund,"{'date': '02-01-2013', 'nav': '40.62120'}",Nifty 500 TRI
148404,BANK OF INDIA Flexi Cap Fund Direct Plan -Growth,37.09,25-Jul-2025,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,Bank of India Mutual Fund,"{'date': '01-07-2020', 'nav': '10.04000'}",Nifty 500 TRI
150387,Baroda BNP Paribas Flexi Cap Fund - Direct Plan - Growth Option,16.1972,25-Jul-2025,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,Baroda BNP Paribas Mutual Fund,"{'date': '22-08-2022', 'nav': '9.90570'}",Nifty 500 TRI
118275,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,381.1600,25-Jul-2025,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,Canara Robeco Mutual Fund,"{'date': '02-01-2013', 'nav': '64.39000'}",Nifty 500 TRI
119076,DSP Flexi Cap Fund - Direct Plan - Growth,113.377,25-Jul-2025,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,DSP Mutual Fund,"{'date': '02-01-2013', 'nav': '18.18800'}",Nifty 500 TRI
140353,Edelweiss Flexi Cap Fund - Direct Plan - Growth Option,43.538,25-Jul-2025,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,Edelweiss Mutual Fund,"{'date': '28-11-2016', 'nav': '10.16200'}",Nifty 500 TRI
118535,Franklin India Flexi Cap Fund - Direct - Growth,1823.1570,25-Jul-2025,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,Franklin Templeton Mutual Fund,"{'date': '01-01-2013', 'nav': '253.69140'}",Nifty 500 TRI
118955,HDFC Flexi Cap Fund - Growth Option - Direct Plan,2159.534,25-Jul-2025,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,HDFC Mutual Fund,"{'date': '01-01-2013', 'nav': '296.87600'}",Nifty 500 TRI
152135,Helios Flexi Cap Fund - Direct Plan - Growth Option,14.82,25-Jul-2025,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,Helios Mutual Fund,"{'date': '15-11-2023', 'nav': '10.22000'}",Nifty 500 TRI
