"DateTime","Parag Parikh Flexi Cap Fund - Regular Plan - Growth","$-Adjusted","NIFTY 500 - TRI "
"2013-05-28 00:00:00",10,0.1794,6623.8
"2013-05-29 00:00:00",10.01,0.1779,6609.41
"2013-05-30 00:00:00",10.03,0.1788,6625.94
"2013-05-31 00:00:00",10.01,0.1773,6502.47
"2013-06-03 00:00:00",10.06,0.1778,6471.69
"2013-06-04 00:00:00",10.03,0.1771,6462.34
"2013-06-05 00:00:00",10.03,0.1777,6467.86
"2013-06-06 00:00:00",10.03,0.1764,6465.38
"2013-06-07 00:00:00",10.02,0.1766,6420.57
"2013-06-10 00:00:00",9.99,0.173,6397.44
"2013-06-11 00:00:00",9.95,0.1689,6293.93
"2013-06-12 00:00:00",9.93,0.1703,6255.65
"2013-06-13 00:00:00",9.91,0.1696,6182.9
"2013-06-14 00:00:00",9.95,0.1724,6292.36
"2013-06-17 00:00:00",9.98,0.1729,6336.52
"2013-06-18 00:00:00",9.99,0.171,6313.16
"2013-06-19 00:00:00",10.01,0.1703,6329.95
"2013-06-20 00:00:00",9.93,0.1663,6160.34
"2013-06-21 00:00:00",9.91,0.167,6147.39
"2013-06-24 00:00:00",9.8,0.1641,6043.8
"2013-06-25 00:00:00",9.78,0.1638,6050.09
"2013-06-26 00:00:00",9.75,0.1629,6030.01
"2013-06-27 00:00:00",9.79,0.1615,6114.89
"2013-06-28 00:00:00",9.89,0.1657,6277.73
"2013-07-01 00:00:00",9.93,0.1679,6362.81
"2013-07-02 00:00:00",9.93,0.1671,6322.22
"2013-07-03 00:00:00",9.91,0.1649,6225.59
"2013-07-04 00:00:00",9.95,0.1656,6289.54
"2013-07-05 00:00:00",9.97,0.1652,6315.8
"2013-07-08 00:00:00",9.95,0.1629,6267.69
"2013-07-09 00:00:00",10,0.1664,6322.15
"2013-07-10 00:00:00",10,0.1663,6284.17
"2013-07-11 00:00:00",10.06,0.1686,6389.64
"2013-07-12 00:00:00",10.12,0.169,6452.31
"2013-07-15 00:00:00",10.18,0.1695,6488.25
"2013-07-16 00:00:00",10.1,0.1701,6406
"2013-07-17 00:00:00",10.15,0.1709,6407.99
"2013-07-18 00:00:00",10.21,0.171,6479.41
"2013-07-19 00:00:00",10.12,0.1693,6459.04
"2013-07-22 00:00:00",10.18,0.1714,6456.87
"2013-07-23 00:00:00",10.16,0.1702,6498.28
"2013-07-24 00:00:00",10.03,0.1687,6397.24
"2013-07-25 00:00:00",9.96,0.169,6319.02
"2013-07-26 00:00:00",9.95,0.1689,6285.39
"2013-07-29 00:00:00",9.88,0.1667,6219.91
"2013-07-30 00:00:00",9.83,0.1644,6124.51
"2013-07-31 00:00:00",9.76,0.1598,6109.86
"2013-08-01 00:00:00",9.78,0.161,6074.32
"2013-08-02 00:00:00",9.81,0.1613,6019.93
"2013-08-05 00:00:00",9.78,0.1608,6031.75
"2013-08-06 00:00:00",9.67,0.1571,5879.75
"2013-08-07 00:00:00",9.68,0.1577,5879.46
"2013-08-08 00:00:00",9.79,0.1603,5930.39
"2013-08-12 00:00:00",9.89,0.1626,5990.61
"2013-08-13 00:00:00",9.96,0.1621,6086.76
"2013-08-14 00:00:00",9.95,0.1617,6131.24
"2013-08-16 00:00:00",9.82,0.1589,5897.1
"2013-08-19 00:00:00",9.7,0.1555,5796.21
"2013-08-20 00:00:00",9.7,0.1522,5777.38
"2013-08-21 00:00:00",9.68,0.1526,5681.15
"2013-08-22 00:00:00",9.69,0.1481,5774.59
"2013-08-23 00:00:00",9.77,0.151,5840.98
"2013-08-26 00:00:00",9.74,0.1517,5856.18
"2013-08-27 00:00:00",9.64,0.1469,5669.34
"2013-08-28 00:00:00",9.61,0.1406,5651.37
"2013-08-29 00:00:00",9.64,0.1423,5770.62
"2013-08-30 00:00:00",9.63,0.1447,5831.25
"2013-09-02 00:00:00",9.7,0.1473,5914.21
"2013-09-03 00:00:00",9.64,0.1442,5716.38
